thumbnail,file_name,resource_link,name,altnames,name_eng,collection,curricular,featured,content_org,description_eng,language,educationalalignment,educationalsubject,educationallevel,audience,educationaluse,interactivitytype,source,teaches,tags, basedonurl,prior_node,member_of,assesses,timerequired,textcomplexity,readinglevel,age_range,created_by,license,translation_of,adaptation_of,contributors
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCoinSpinner.png,CoinSpinner.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CoinSpinner.mp4,कॉइन स्पिनर,,Coin Spinner ,,XCR,0,या कार्यक्रमात जुन्या नाणा पासून फिरकी बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॉइन स्पिनर, फिरकी",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCokeCanAeroplane.png,CokeCanAeroplane.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CokeCanAeroplane.mp4,कॉक कॅन ऐरोप्लेन,,Coke Can Aeroplane ,,XCR,0,या कार्यक्रमात कॉल्डरिंग चे कॅन पासून ऐरोप्लेन बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॉक कॅन ऐरोप्लेन",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnColorMixer.png,ColorMixer.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ColorMixer.mp4,कलर मिक्सर,,Color Mixer,,XCR,0,या कार्यक्रमात इंद्रधनुष्याच्या कलर मिक्सर बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कलर मिक्सर, डिंक",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnColourChroma.png,ColourChroma.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ColourChroma.mp4,कलर क्रोमा,,Colour Chroma ,,XCR,0,या कार्यक्रमात पाणी ची मादितीनी फुलांचे पेटर्न बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कलर क्रोमा",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnColourFilter.png,ColourFilter.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ColourFilter.mp4,कलर फिल्टर,,Colour Filter ,,XCR,0,या कार्यक्रमात कलर फिल्टर ची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कलर फिल्टर",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnColourWindow.png,ColourWindow.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ColourWindow.mp4, कलरफुल विंडो,,Colour Window ,,XCR,0,या कार्यक्रमात कलरफुल विंडो बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कलरफुल विंडो, कार्ड",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnColourfulBands.png,ColourfulBands.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ColourfulBands.mp4,कलरफुल बॅन्ड्स,,Colourful Bands ,,XCR,0,या कार्यक्रमात कलरफुल बॅन्ड्स बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कलरफुल बॅन्ड्स",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnColourfulFish.png,ColourfulFish.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ColourfulFish.mp4,कलरफुल फिश,,Colourful Fish,,XCR,0,या कार्यक्रमात कलरफुल फिश बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कलरफुल फिश, ट्रान्स्परन्सी ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnColourfulPaperCandy.png,ColourfulPaperCandy.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ColourfulPaperCandy.mp4,कलरफुल पेपर कँडी,,Colourful Paper Candy ,,XCR,0,या कार्यक्रमात कलरफुल पेपर कँडी बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कलरफुल पेपर कँडी, रंगीत कागद",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnColourfulStar.png,ColourfulStar.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ColourfulStar.mp4,कलरफुल स्टार,,Colourful Star ,,XCR,0,या कार्यक्रमात कलरफुल स्टार बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कलरफुल स्टार, रंगीत कागद",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCongruentTriangles.png,CongruentTriangles.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CongruentTriangles.mp4,काँग्रएंट ट्राइऐंगलस,,Congruent Triangles ,,XCR,0,या कार्यक्रमात काँग्रएंट ट्राइऐंगलस बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, काँग्रएंट ट्राइऐंगलस, कागद ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnConstantFlowAg.png,ConstantFlowAg.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ConstantFlowAg.mp4, कॉन्स्टन फ्लो,,Constant Flow ,,XCR,0,या कार्यक्रमात कॉन्स्टन फ्लो बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॉन्स्टन फ्लो",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnConvectionCurrentsAg.png,ConvectionCurrentsAg.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ConvectionCurrentsAg.mp4,कॉंवेकशन करन्ट,,Convection Currents,,XCR,0,या कार्यक्रमात कॉंवेकशन करन्ट द्वारे पाण्यातील ज्वालामुखी चा प्रयोगदाखवले आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॉंवेकशन करन्ट",,,,,,,,,,CC BY-SA,,,
